Key,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code
1,28,57942,20811,5153,97,52223,18902,34323,11294,90001
2,38.8,3524,665,199,2436,373,581,47569,37831,90010
3,28.2,104762,37997,8979,571,94383,40661,31684,10103,90011
4,36.1,47079,17288,16197,1627,24994,10438,41140,21578,90016
5,34.2,40170,11471,2139,18847,13515,7826,40353,27106,90020
6,31.9,67191,40440,282,671,64637,15659,40650,14423,90022
7,39.3,28436,16211,664,5236,10777,2636,77361,44638,90039
8,34.7,63109,29517,1843,7912,42591,13124,51444,23314,90042
9,40,44328,8293,26977,642,14151,8983,41449,26687,90043
10,36.5,22722,18182,558,2083,2101,2021,83672,67985,90048
11,29.1,27203,8812,9643,76,17131,8926,36094,13927,90061
12,34.3,33690,6400,11166,389,21354,8836,37293,15316,90062
13,32.1,51271,17022,19231,670,29294,11145,50938,17104,90220
14,35.2,26426,18427,581,2439,19367,1443,76748,28512,90240
15,43.8,10592,3365,1767,3414,4324,1298,55368,25429,90248
16,28.9,71197,38824,6332,540,62637,16589,43952,13644,90262
17,33.2,36429,10838,11388,471,22777,7557,40799,18413,90301
18,33.8,41305,23029,464,1639,31686,6047,67019,23910,90605
19,34.8,30373,17221,701,7676,15296,6736,50293,20459,90680
20,37.6,57785,18356,4086,20699,25519,7019,71813,23543,90745
21,30.2,95808,30269,19319,10544,55387,22869,45878,17574,90805
22,39.4,41901,27775,2803,5572,16179,3556,67868,34507,91016
23,39.6,37664,27270,950,5202,9427,8119,38138,22434,91205
24,37.3,52846,26397,2210,7767,22172,8644,62690,27624,91304
25,35.1,29689,15879,2412,4986,10580,4696,63368,29927,91324
26,34.9,33558,19482,2787,5371,10870,5820,60593,31574,91325
27,31.6,35681,21618,1044,331,32641,6246,55463,17122,91340
28,42,53290,31416,2198,8424,17110,3896,81335,34436,91344
29,33.8,47079,35884,793,2837,34164,9344,51047,18261,91352
30,35.7,41019,24253,2158,2332,18366,9082,49153,26945,91401
31,35,55385,24937,2653,4557,31543,10847,49764,23411,91406
32,39.1,34140,27572,1840,2293,4249,2789,81753,55895,91423
33,33.4,39318,25770,3022,3116,15269,8556,50275,29995,91601
34,35.2,45040,28500,2066,2506,24471,9423,42273,20850,91606
35,37.6,31405,24618,2213,1994,7437,3568,56096,38838,91607
36,40.9,26555,17776,855,2609,10010,2842,68487,27682,91740
37,34.5,29801,16721,2009,1990,17755,3413,64960,23231,91752
38,44.6,27487,4005,130,19506,6409,4948,48350,24204,91755
39,32.5,58223,27416,3498,2668,41427,10463,50309,18560,91762
40,30.9,54303,26806,3447,2895,39005,10805,50728,18807,91764
41,27.6,36365,17239,2503,2388,25998,7949,46964,15613,91768
42,32.3,26801,19529,846,2380,13566,5087,48010,21530,91932
43,34.9,58554,43016,3235,2293,14584,12937,50617,24334,92020
44,33.3,56899,43330,1339,3999,29042,7862,56250,22388,92027
45,44.2,18758,15622,415,1115,3966,1497,86250,40799,92029
46,54.3,2700,2485,6,27,316,432,45156,23575,92036
47,40.2,53920,41367,2199,3691,16686,6345,63109,30249,92056
48,29.9,2046,599,3,35,615,418,52500,30860,92061
49,45.8,12548,10646,47,363,1668,819,99688,61976,92075
50,60.7,1672,1343,30,58,269,273,37083,26408,92086
51,30.9,44778,31554,4472,2670,27187,13080,42464,20503,92102
52,31.8,20899,14586,1786,2129,4344,3173,65586,40685,92108
53,34.4,69688,18460,13592,17375,29822,11306,58036,20083,92114
54,27.9,64410,39649,9230,8810,20009,16512,46994,22882,92115
55,43.3,49522,33631,1093,11414,4795,2363,96026,45714,92128
56,64.3,24623,21499,429,837,3055,2096,58274,45711,92211
57,38.3,22242,13247,2635,436,12314,3837,39314,15094,92225
58,26.4,4088,2627,68,0,2402,1310,34018,10308,92230
59,32.2,7770,3212,1208,74,5884,1188,35208,7026,92233
60,28.7,44124,12883,346,54,42985,13186,36300,12833,92236
61,61.1,1332,1231,0,0,184,242,29911,23485,92242
62,33.2,49425,29549,1234,1077,41104,11666,42476,18205,92243
63,41.6,8874,7279,53,260,2031,2371,35449,21860,92252
64,25.9,12491,4773,94,0,12098,4757,27492,8995,92254
65,36.5,2174,1277,58,0,1305,524,30750,13423,92275
66,42.5,1233,889,142,72,446,424,35417,19255,92282
67,36.8,2287,900,15,33,801,704,29514,15810,92283
68,40,40285,32444,3015,1343,13785,8225,42389,20803,92308
69,44.7,5282,4853,66,54,1191,951,47095,31627,92315
70,49.8,8364,7402,93,214,2167,1361,45928,26369,92320
71,47,8019,7316,129,123,1396,1180,50518,28809,92325
72,36,20963,10714,2135,6391,5347,3332,57610,30904,92354
73,46.2,5995,5233,140,64,1311,1711,31821,17493,92356
74,52.1,1069,962,0,5,371,134,49861,27490,92358
75,27.4,64225,40472,7020,3516,38167,13360,54057,17469,92407
76,31.8,21975,13838,1374,885,12246,4402,52041,21436,92501
77,57.3,2644,2553,0,34,261,463,59500,32668,92549
78,28.5,33670,12593,6375,1921,20164,6841,52444,16080,92551
79,32,10205,7491,100,343,5840,2488,56447,18979,92567
80,30.2,59324,27003,4016,1207,41784,16528,46279,15617,92570
81,31.3,16695,10955,1276,1154,8146,1909,60170,19329,92582
82,32.6,49317,32412,3329,3501,17036,3507,79778,27029,92584
83,60.5,19351,15180,996,870,4896,2775,34781,22925,92586
84,36.1,23129,10746,884,9690,2079,2906,91250,42540,92606
85,36.7,52335,36389,1386,8214,8339,2298,102289,45444,92656
86,28.7,51317,33858,436,2050,45926,15255,39348,13231,92701
87,31.7,36684,13326,249,2972,26974,7663,58623,21407,92706
88,30.8,66657,42252,2380,11838,40017,12853,50423,18693,92801
89,33,25601,15837,925,2389,13844,4408,58274,24911,92832
90,39.8,51041,42004,796,2599,15329,4445,71806,34447,93003
91,32.1,32157,23188,502,1278,16395,5941,53730,28803,93101
92,35.5,20827,15237,447,634,10622,2902,71667,36595,93103
93,30.6,3570,1801,190,203,2347,726,43990,13859,93202
