,Median Age,Population,White,Black,Asian,Hispanic,Poverty Count,Household Income,Per Capita Income,Zip Code,Review Count,Price,Average Rating
0,28,57942,20811,5153,97,52223,18902,34323,11294,90001,3056,,3.917866492
1,27.5,51826,19573,11188,311,39527,18302,32520,11212,90002,4943,,4.124924135
2,28,70208,18114,16206,180,53630,24556,31878,10611,90003,6564,,4.249542962
3,35.5,63095,25611,2405,15870,31965,12919,43180,29194,90004,12633,,4.260547772
4,33.9,39338,7471,2213,13289,20199,11520,31485,20265,90005,13671,,4.324738498
5,33.6,61230,13274,2122,11667,44852,17456,31993,14306,90006,17445,,4.318228719
6,24.3,41979,12305,4360,8406,20939,17605,22485,11658,90007,14572,,4.387455394
7,43.7,32060,5590,21051,990,7916,6769,36134,28316,90008,8072,,4.259043608
8,38.8,3524,665,199,2436,373,581,47569,37831,90010,11251,,4.340236423
9,28.2,104762,37997,8979,571,94383,40661,31684,10103,90011,14376,,4.297405398
10,35.8,32543,9438,4074,13329,9195,7755,32712,21989,90012,32356,,4.145629868
11,43.7,11668,4349,3522,1935,1777,5229,22058,33518,90013,33174,,4.152920962
12,41.3,7191,3673,1293,1065,1242,2809,23580,39272,90014,21301,,4.179263884
13,32.8,19378,6614,1430,3012,12369,7366,30463,28731,90015,17633,,4.14705382
14,36.1,47079,17288,16197,1627,24994,10438,41140,21578,90016,13053,,4.402244695
15,30.9,25772,8822,1372,3880,17212,11732,25143,20413,90017,21328,,4.1502485
16,34.8,51639,9680,17413,2052,29314,13485,35696,17937,90018,10205,,4.369867712
17,37.6,68530,24300,13512,10884,32280,14117,47518,28915,90019,20236,,4.442429334
18,34.2,40170,11471,2139,18847,13515,7826,40353,27106,90020,12277,,4.300317667
19,43.7,2954,1002,702,89,1474,1459,12370,23213,90021,19711,,4.206864188
20,31.9,67191,40440,282,671,64637,15659,40650,14423,90022,7060,,4.241713881
21,30.6,46611,29390,423,402,45092,13071,37472,12875,90023,15435,,4.231616456
22,23,49737,30284,911,14007,5509,12553,57210,43727,90024,15643,,4.147957553
23,34.1,46520,29304,1364,9491,8642,5871,72653,49219,90025,14341,,4.045045673
24,34.5,67557,37810,2464,11439,35953,15000,51568,30685,90026,22151,,4.170330911
25,38.2,46043,30711,1332,6095,9729,7539,52922,41744,90027,13624,,4.201445978
26,34.1,31122,17317,2605,2603,9983,8369,35729,28361,90028,12587,,4.133192977
27,35.4,40242,15565,975,6936,22288,11062,35132,19918,90029,17532,,4.197068218
28,35.6,38940,14550,299,9191,26388,10800,36801,17069,90031,17174,,4.302142774
29,33.7,47285,20817,826,4532,38284,10833,45218,18613,90032,9219,,4.251003363
30,29.5,49156,32622,776,2479,44679,18025,29499,12212,90033,22417,,4.245461034
31,33.4,57443,34131,5513,11090,16279,8524,60965,39185,90034,14369,,4.100876888
32,36.4,30582,22712,2254,2289,3209,3449,74667,50335,90035,12224,,4.366205825
33,34.3,37931,24798,1932,7201,3445,5072,71917,52023,90036,23362,,4.208886225
34,29.7,61451,17240,12000,646,47157,24624,27129,11330,90037,5496,,4.476437409
35,32.2,28155,11694,1626,1442,15924,8524,35739,23709,90038,17242,,4.166251015
36,39.3,28436,16211,664,5236,10777,2636,77361,44638,90039,14658,,4.371537727
37,34,12812,9678,113,115,12239,2204,41897,15633,90040,3440,,4.536627907
38,39.7,28405,15139,394,7805,11013,3018,68457,33467,90041,8493,,4.168609443
39,34.7,63109,29517,1843,7912,42591,13124,51444,23314,90042,7064,,4.12945923
40,40,44328,8293,26977,642,14151,8983,41449,26687,90043,5564,,4.333662832
41,30.7,90155,21737,31838,472,55988,32168,30288,13515,90044,5490,,4.455009107
42,34.7,41145,24793,5366,5558,7336,4180,81058,44571,90045,16019,,4.231693614
43,39.2,50923,40364,2180,2913,5749,7274,61157,61916,90046,22837,,4.123615186
44,39,48306,8122,31434,368,14912,10238,40913,20815,90047,7911,,4.417267096
45,36.5,22722,18182,558,2083,2101,2021,83672,67985,90048,16542,,4.165608753
46,41.2,35581,30154,464,3228,2087,2365,117007,96078,90049,15403,,4.338278257
47,50.1,8118,1352,6056,272,653,483,74959,47886,90056,6121,,4.18273158
48,33.3,48302,12889,2193,9598,33618,17039,29332,14399,90057,9256,,4.128565255
49,23.5,2674,1131,212,84,2295,1895,15224,8260,90058,4026,,4.394187779
50,26.3,46027,17567,14409,327,30649,16688,35061,11822,90059,5044,,4.206582078
51,29.1,27203,8812,9643,76,17131,8926,36094,13927,90061,9758,,4.134966182
52,34.3,33690,6400,11166,389,21354,8836,37293,15316,90062,5919,,4.429295489
53,31.2,54142,22108,283,765,52181,13729,41267,14703,90063,18081,,4.136247995
54,38.3,27032,19412,1024,4796,3667,2263,92626,59338,90064,21458,,4.0052428
55,37,46965,24877,919,7485,29061,9086,54796,27209,90065,16841,,4.386912891
56,37.5,59258,36546,2054,8521,17793,6448,72004,42388,90066,11485,,4.280452764
57,65.8,2355,1831,6,453,39,176,120208,152254,90067,10559,,4.085566815
58,39.7,21450,16962,700,1569,2026,2490,76485,75182,90068,15971,,4.239778348
59,41.6,20435,15793,1020,1302,2487,2067,82237,79600,90069,15046,,4.143393593
60,47.9,8912,7403,213,863,676,311,178194,100874,90077,16787,,4.25451242
61,34.3,8072,4064,1053,2219,857,910,121087,69563,90094,7372,,3.977482366
62,28.5,102786,73345,1019,851,97264,28850,38244,12089,90201,4397,,4.389242665
63,47.5,20957,17678,250,2020,976,1903,146250,103832,90210,15015,,4.140992341
64,41,8129,6595,129,912,607,878,73659,59780,90211,15298,,4.2491829
65,41,12915,10629,124,933,848,1199,100183,71920,90212,13263,,4.184535927
66,32.1,51271,17022,19231,670,29294,11145,50938,17104,90220,5742,,4.208202717
67,28.8,53922,22994,11319,462,41464,14166,43304,13314,90221,5225,,4.374066986
68,27.2,32195,12236,8798,257,22462,9212,37730,12836,90222,2851,,4.180638373
69,39.1,32692,20504,2754,5206,10800,3665,73469,39690,90230,9598,,4.316315899
70,41.3,14810,10088,994,2392,3548,1342,80222,48212,90232,14782,,4.098058449
71,35.2,26426,18427,581,2439,19367,1443,76748,28512,90240,14130,,4.206121727
72,34.8,44815,30438,1183,2979,34013,4943,61151,24831,90241,12857,,4.276697519
73,32.7,41982,25608,2516,2662,30068,5984,60732,21320,90242,13691,,4.325140603
74,39,16901,13448,286,1259,3074,1389,91623,47749,90245,14219,,4.261621774
75,37.3,47706,11745,9213,11874,22540,9134,44824,21598,90247,10628,,4.091926985
76,43.8,10592,3365,1767,3414,4324,1298,55368,25429,90248,11420,,4.163397548
77,39.3,26795,6588,7641,4351,9916,3436,53783,24791,90249,11764,,4.161467188
78,32.5,96987,35999,20834,6744,54079,18007,47076,22034,90250,10020,,4.411127745
79,38.3,19726,17336,262,927,1562,912,121345,87379,90254,9111,,4.276918011
80,30.9,75770,50022,405,651,73418,20515,37108,13162,90255,2551,,4.455703646
81,36,35569,17460,3011,4438,20918,5188,55666,21852,90260,13364,,4.373690512
82,28.9,71197,38824,6332,540,62637,16589,43952,13644,90262,3117,,4.285049727
83,49.6,18394,15809,347,898,1652,1549,126227,93324,90265,18532,,3.824762573
84,43.6,35573,28664,345,3415,2934,1305,144868,87206,90266,17756,,4.222206578
85,29.2,27575,22586,103,27,26997,7325,36717,12744,90270,2945,,4.259932088
86,47.5,23151,20325,283,1199,1077,909,168225,120391,90272,8736,,4.119562729
87,50.2,25503,17198,427,5990,2011,1258,158673,81435,90274,6865,,4.204952658
88,49.3,42545,25851,944,11798,4241,1720,120553,57402,90275,5475,,4.105388128
89,43.7,35204,28213,672,3265,4913,1874,99358,60821,90277,8951,,4.30767512
90,40,40582,27762,1508,5967,7138,2113,106102,50073,90278,15130,,4.452048909
91,31.2,95219,55461,977,504,90790,19289,45522,15287,90280,4466,,4.398231079
92,47.4,5974,5474,93,199,273,267,104392,54022,90290,10876,,3.874402354
93,38.6,27277,22311,1446,1123,5308,3059,82467,65733,90291,14587,,4.192294509
94,39.8,22482,17722,1444,1746,1835,3115,100842,72967,90292,14578,,4.211277267
95,38.4,12649,8748,696,1542,1831,874,85561,72465,90293,10189,,4.025714005
96,33.2,36429,10838,11388,471,22777,7557,40799,18413,90301,8899,,4.221710305
97,33.5,31064,9203,15051,349,13343,6342,43494,21499,90302,7973,,4.170387558
98,31.8,25134,6607,8907,255,14947,6597,40632,17445,90303,2405,,4.007484407
99,28.9,27008,11303,1288,617,24573,8280,38374,13189,90304,2436,,4.216748768
100,42.2,15777,1870,12246,185,2413,1687,66114,33016,90305,2804,,3.908523538
101,38.2,7621,5768,548,741,1197,907,67022,64866,90401,24497,,4.117891987
102,50.1,11410,9986,88,913,761,847,140612,115123,90402,17439,,4.070330868
103,40.1,24539,20146,538,2309,2268,2194,85870,68093,90403,20502,,4.103575261
104,37.5,22201,15472,1560,2691,6305,3358,73042,40785,90404,15331,,4.105896549
105,41.3,28861,22640,1040,2702,4638,3061,83034,59621,90405,16351,,4.165005198
106,36,43405,18143,2679,10291,18249,6420,62590,27869,90501,7353,,4.295661635
107,42.1,17855,5924,1593,6217,6914,2209,67225,26583,90502,5062,,4.396088503
108,40.3,44562,21471,1188,17205,5074,3428,78290,38477,90503,10278,,4.365343452
109,40,33609,13194,1055,13294,8402,2901,75036,33226,90504,13723,,4.242658311
110,43.4,37242,20310,788,12816,4696,1882,84450,44236,90505,7589,,4.203979444
111,37.7,34169,17727,448,2290,25305,3867,69011,30801,90601,6988,,4.103820836
